aquifer_id,Aquifer_Type,state,n_state,state_figure
218,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
219,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
219,Unknown,Stable and/or Non-significant,1,Stable and/or Non-significant
229,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
255,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
257,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
"259, 259",Sand and Gravel,"Stable and/or Non-significant, Moderate Rate of Decline",2,Mixed
26,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
260,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
261,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
27,Sand and Gravel,Increasing,1,Increasing
276,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
28,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
289,Sand and Gravel,Increasing,1,Increasing
304,Bedrock,Increasing,1,Increasing
307,Sand and Gravel,Moderate Rate of Decline,1,Moderate Rate of Decline
316,Sand and Gravel,Moderate Rate of Decline,1,Moderate Rate of Decline
320,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
33,Sand and Gravel,Large Rate of Decline,1,Large Rate of Decline
344,Sand and Gravel,Moderate Rate of Decline,1,Moderate Rate of Decline
35,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
351,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
353,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
390,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
4,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
408,Unknown,Increasing,1,Increasing
41,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
415,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
416,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
438,Bedrock,Large Rate of Decline,1,Large Rate of Decline
447,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
450,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
464,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
473,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
52,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
523,Bedrock,Large Rate of Decline,1,Large Rate of Decline
540,Unknown,Stable and/or Non-significant,1,Stable and/or Non-significant
560,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
585,Unknown,Stable and/or Non-significant,1,Stable and/or Non-significant
593,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
595,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
"608, 608",Bedrock,"Increasing, Stable and/or Non-significant",2,Mixed
609,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
61,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
610,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
616,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
620,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
635,Sand and Gravel,Increasing,1,Increasing
659,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
662,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
664,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
680,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
709,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
709,Unknown,Stable and/or Non-significant,1,Stable and/or Non-significant
711,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
721,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
722,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
737,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
74,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
740,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
8,Sand and Gravel,Moderate Rate of Decline,1,Moderate Rate of Decline
808,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
822,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
825,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
834,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
858,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
92,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
921,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
936,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
97,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
Observation Well #376,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
Observation Well #387,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
