aquifer_id,Aquifer_Type,state,n_state,state_figure
102,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
103,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
108,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
109,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
1098,Sand and Gravel,Increasing,1,Increasing
1143,Sand and Gravel,Increasing,1,Increasing
115,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
1155,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
1174,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
1216,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
1238,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
"1250, 1250",Sand and Gravel,"Increasing, Stable and/or Non-significant",2,Mixed
1264,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
1271,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
1287,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
131,Sand and Gravel,Increasing,1,Increasing
133,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
134,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
146,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
148,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
15,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
158,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
165,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
172,Sand and Gravel,Increasing,1,Increasing
178,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
186,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
"197, 197",Sand and Gravel,"Increasing, Stable and/or Non-significant",2,Mixed
198,Bedrock,Stable and/or Non-significant,1,Stable and/or Non-significant
199,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
"215, 215",Sand and Gravel,"Stable and/or Non-significant, Large Rate of Decline",2,Mixed
216,Sand and Gravel,Increasing,1,Increasing
217,Sand and Gravel,Stable and/or Non-significant,1,Stable and/or Non-significant
